Provinsi,KabKot,Jenis Kelamin,Tingkat Pendidikan,Jumlah Penduduk,Latitude,Longitude
Nanggroe Aceh Darussalam,Kota Subulussalam,Jumlah Laki Laki,Tamat PT,1363,2.65359,97.9101
Sumatera Utara,Nias,Jumlah Laki Laki,Tidak/Belum Tamat SD,6549,1.12946,97.7191
Sumatera Utara,Nias,Jumlah Laki Laki,Tamat SD,10322,1.12946,97.7191
Sumatera Utara,Nias,Jumlah Laki Laki,Tamat SLTP,6203,1.12946,97.7191
Sumatera Utara,Nias,Jumlah Laki Laki,Tamat SLTA,4650,1.12946,97.7191
Sumatera Utara,Nias,Jumlah Laki Laki,Tamat PT,845,1.12946,97.7191
Sumatera Utara,Mandailing Natal,Jumlah Laki Laki,Tidak/Belum Tamat SD,7640,0.716284,99.4183
Sumatera Utara,Mandailing Natal,Jumlah Laki Laki,Tamat SD,51177,0.716284,99.4183
Sumatera Utara,Mandailing Natal,Jumlah Laki Laki,Tamat SLTP,31495,0.716284,99.4183
Sumatera Utara,Mandailing Natal,Jumlah Laki Laki,Tamat SLTA,25974,0.716284,99.4183
Sumatera Utara,Mandailing Natal,Jumlah Laki Laki,Tamat PT,4582,0.716284,99.4183
Sumatera Utara,Tapanuli Selatan,Jumlah Laki Laki,Tidak/Belum Tamat SD,5185,1.52419,99.2215
Sumatera Utara,Tapanuli Selatan,Jumlah Laki Laki,Tamat SD,28589,1.52419,99.2215
Sumatera Utara,Tapanuli Selatan,Jumlah Laki Laki,Tamat SLTP,23601,1.52419,99.2215
Sumatera Utara,Tapanuli Selatan,Jumlah Laki Laki,Tamat SLTA,20008,1.52419,99.2215
Sumatera Utara,Tapanuli Selatan,Jumlah Laki Laki,Tamat PT,2158,1.52419,99.2215
Sumatera Utara,Tapanuli Tengah,Jumlah Laki Laki,Tidak/Belum Tamat SD,9760,1.86878,98.6094
Sumatera Utara,Tapanuli Tengah,Jumlah Laki Laki,Tamat SD,28677,1.86878,98.6094
Sumatera Utara,Tapanuli Tengah,Jumlah Laki Laki,Tamat SLTP,26655,1.86878,98.6094
Sumatera Utara,Tapanuli Tengah,Jumlah Laki Laki,Tamat SLTA,22664,1.86878,98.6094
Sumatera Utara,Tapanuli Tengah,Jumlah Laki Laki,Tamat PT,3688,1.86878,98.6094
Sumatera Utara,Tapanuli Utara,Jumlah Laki Laki,Tidak/Belum Tamat SD,4315,2.0633,98.8284
Sumatera Utara,Tapanuli Utara,Jumlah Laki Laki,Tamat SD,17727,2.0633,98.8284
Sumatera Utara,Tapanuli Utara,Jumlah Laki Laki,Tamat SLTP,28716,2.0633,98.8284
