id,name,popularity,album_name,release_date,duration_ms,explicit,artist_name,duration_min
6pFoYMv2aU4aBORxa4UrIz,2 times tables (biggie style),5,"multiplication times tables - 2 pac, biggie, & ti style",2009-03-27,289750,False,multiplication hip hop for kids,4.83
59sv9AwgTTatkZZe1LkMu3,3 times table (hip hop style),1,3 times table (hip hop style),2012-02-08,183206,False,multiplication hip hop for kids,3.05
0MMW9k7yErGwXG1D6fGDfF,official website information,0,"multiplication times tables - 2 pac, biggie, & ti style",2009-03-27,85577,False,multiplication hip hop for kids,1.43
4Mh71MDK1bnxDfQZUVNgn4,brains and brawn,2,"all beef, no chicken",2002-01-01,247453,False,hip-hop wieners,4.12
5cn3ddAZsBtPplRAifUsM6,studio time,2,"all beef, no chicken",2002-01-01,346240,False,hip-hop wieners,5.77
4jhOFBPmsaw27OirhzDJzw,asleep at the whee,2,"all beef, no chicken",2002-01-01,357106,False,hip-hop wieners,5.95
2QnuVHYwGAWR0kZcDaTmLI,hip hop sloth i,1,"all beef, no chicken",2002-01-01,171800,False,hip-hop wieners,2.86
3iAzFGROtPg6eIN3CcaLR6,you smell awful,1,"all beef, no chicken",2002-01-01,269880,False,hip-hop wieners,4.5
2hD5wQshK7Hs9aGGczfQer,run and hide,1,"all beef, no chicken",2002-01-01,245266,False,hip-hop wieners,4.09
6Iz5L5sz6PazZ4tqeBpEpj,we 2 rappers,1,"all beef, no chicken",2002-01-01,265386,False,hip-hop wieners,4.42
51juFdjKtqlcmLNdzQjHBw,hard rimes,1,"all beef, no chicken",2002-01-01,215200,False,hip-hop wieners,3.59
5I8jNvrKkhxOj29nwopQyq,poor folk,1,"all beef, no chicken",2002-01-01,282733,False,hip-hop wieners,4.71
0zIQLcgOUrXNBdAzXacaSr,hip hop sloth ii,1,"all beef, no chicken",2002-01-01,253453,False,hip-hop wieners,4.22
6k4xvNJCqUvyyzi0gukQMQ,that's how it is,4,déjà vu - it's '82,1992-01-05,272666,False,crusaders for real hip-hop,4.54
2dYf28wO4gcw5gvxeEFq6Y,real rhymers (feat. king sun),2,déjà vu - it's '82,1992-01-05,283933,False,crusaders for real hip-hop,4.73
69pA0kKkQ2Axnl1XTHxjDy,funky uptown,2,déjà vu - it's '82,1992-01-05,255293,False,crusaders for real hip-hop,4.25
4Xyrq7g7mHH6fyQVbtFAPj,we love the hotties,1,déjà vu - it's '82,1992-01-05,236560,False,crusaders for real hip-hop,3.94
4XhfogBc1feIweCOPlzKJ0,may i continue?,1,déjà vu - it's '82,1992-01-05,238133,False,crusaders for real hip-hop,3.97
5T1kFYLIfbRCWpsYWxCrEd,higher,1,déjà vu - it's '82,1992-01-05,231573,False,crusaders for real hip-hop,3.86
1bEHnIi5ZVqYybiaR37piO,main entree,1,déjà vu - it's '82,1992-01-05,224400,False,crusaders for real hip-hop,3.74
67ueyqrvWsBcUhrCasW5KE,kicked to the curb,1,déjà vu - it's '82,1992-01-05,214760,False,crusaders for real hip-hop,3.58
2yv8hlbYAO1mQxE9O9XuoN,police brutality,1,déjà vu - it's '82,1992-01-05,261399,False,crusaders for real hip-hop,4.36
3FQOxb1cws1H1wjmGQUVXj,ultimate reality (beat box),1,déjà vu - it's '82,1992-01-05,254026,False,crusaders for real hip-hop,4.23
3I2OBA3kKdbDYzFAkDuc81,"love, money, fame (feat. dj khaled)",65,"love, money, fame (feat. dj khaled) (timbaland remix)",2024-01-11,186386,False,seventeen,3.11
3ZpfXyQgcqdSA1TGNc7Ret,super,68,seventeen best album '17 is right here',2024-04-29,200386,False,seventeen,3.34
6I2tqFhk8tq69iursYxuxd,hot,71,seventeen 4th album 'face the sun',2022-05-27,197586,False,seventeen,3.29
2UE9XGbAzicJIyo4bB6sqM,maestro,71,seventeen best album '17 is right here',2024-04-29,198906,False,seventeen,3.32
6LnEoRQKMcaFTR5UvaKuBy,rock with you,70,seventeen 9th mini album 'attacca',2021-10-22,180360,False,seventeen,3.01
1Rrj7KyS2R6SP9CQMDJW1w,very nice,69,love&letter repackage album,2016-04-07,192092,False,seventeen,3.2
2j1Es5qEl4pD8GEe2WsYgP,darl+ing,65,seventeen 4th album 'face the sun',2022-05-27,176560,False,seventeen,2.94
4MTNimMDRyFZv37Thcktwa,god of music,68,seventeen 11th mini album 'seventeenth heaven',2023-10-23,205133,False,seventeen,3.42
1WEk8mX0loccWCAcTZqVH8,don't wanna cry,62,seventeen best album '17 is right here',2024-04-29,203440,False,seventeen,3.39
1XvOEvWtfa879Wk1wKHZ1M,cheers to youth,67,seventeen best album '17 is right here',2024-04-29,191546,False,seventeen,3.19
1z5ebC9238uGoBgzYyvGpQ,toxic till the end,88,rosie,2024-06-12,156685,False,rosé,2.61
1lcBt7LoEikqYmhUoa2cez,number one girl,82,rosie,2024-06-12,216442,False,rosé,3.61
3fpWkbEZMP1BgOOfymwoaS,drinks or coffee,80,rosie,2024-06-12,133113,False,rosé,2.22
5OdI6v2L7Aez4cclpbojiZ,stay a little longer,77,rosie,2024-06-12,246606,False,rosé,4.11
77n3jFGqPPxYrEGwrWylNv,gameboy,76,rosie,2024-06-12,166742,False,rosé,2.78
2xgACMNtJ5YktyvOC83SPO,on the ground,70,r,2021-12-03,168085,False,rosé,2.8
4HxGH28DitgAuuKpEVrLzN,two years,75,rosie,2024-06-12,167748,False,rosé,2.8
3y4q6bBdbXsTIaPiwiiUfy,3am,75,rosie,2024-06-12,154050,False,rosé,2.57
2ayIgfvWo3SfYP2pVOr4pC,gone,70,r,2021-12-03,207163,False,rosé,3.45
7mpdNiaQvygj2rHoxkzMfa,bite me,78,dark blood,2023-05-22,157531,False,enhypen,2.63
44hqFxUWsADWewEJELnncj,no doubt,77,romance : untold -daydream-,2024-11-11,167219,False,enhypen,2.79
3RkSwrsIadAvqVtMp5yhaB,xo (only if you say yes),77,romance : untold,2024-12-07,188332,False,enhypen,3.14
3ivdlmTbUSv5JN9W8Tk9V1,brought the heat back,74,romance : untold,2024-12-07,176424,False,enhypen,2.94
1wcr8DjnN59Awev8nnKpQ4,drunk-dazed,74,border : carnival,2021-04-26,193260,False,enhypen,3.22
3gYWGRS64XrGSrjD3vvtga,moonstruck,73,romance : untold,2024-12-07,158660,False,enhypen,2.64
0UzymivvUH5s8z4PeWZJaK,fever,74,border : carnival,2021-04-26,172106,False,enhypen,2.87
2YmfV4lAjrAQvuggKCUX6m,sweet venom,73,orange blood,2023-11-17,148753,False,enhypen,2.48
5elW2CKSoqjYoJ32AGDxf1,polaroid love,73,dimension : answer,2022-10-01,184601,False,enhypen,3.08
6i1PYoUEMHqxAsAUKHkqpe,fatal trouble,71,dark moon special album <memorabilia>,2024-05-13,170197,False,enhypen,2.84
